City,FamilyIncome,HouseAge,AveRooms,AveBedrms,NumMembers,AveOccup,Latitude,Longitude,Price
Mumbai,1977000.0,1,5,1,3,4.1,19.076,72.8777,146000.0
Bangalore,3554000.0,32,4,1,5,1.7,12.9716,77.5946,282000.0
Ahmedabad,2886000.0,20,2,1,8,3.0,23.0225,72.5714,283000.0
Lucknow,4729000.0,47,1,1,2,2.9,26.8467,80.9462,416000.0
Ahmedabad,4665000.0,2,3,2,8,2.2,23.0225,72.5714,270000.0
Hyderabad,3255000.0,9,5,2,6,3.7,17.385,78.4867,202000.0
Kolkata,1328000.0,38,5,2,1,4.4,22.5726,88.3639,78000.0
Mumbai,2123000.0,24,2,1,1,4.5,19.076,72.8777,144000.0
Delhi,2899000.0,48,2,1,1,2.4,28.7041,77.1025,219000.0
Hyderabad,1982000.0,34,1,1,7,3.4,17.385,78.4867,91000.0
Ahmedabad,3273000.0,43,4,2,9,2.8,23.0225,72.5714,315000.0
Delhi,1451000.0,17,4,2,7,3.7,28.7041,77.1025,88000.0
Mumbai,4273000.0,19,5,1,3,1.6,19.076,72.8777,129000.0
Ahmedabad,2488000.0,12,4,3,5,2.6,23.0225,72.5714,95000.0
Kolkata,628000.0,3,3,1,1,2.9,22.5726,88.3639,47000.0
Bangalore,1648000.0,4,2,1,1,2.5,12.9716,77.5946,68000.0
Kolkata,622000.0,36,5,1,5,1.7,22.5726,88.3639,56000.0
Ahmedabad,590000.0,24,4,1,2,2.8,23.0225,72.5714,38000.0
Chennai,792000.0,2,1,1,6,1.8,13.0827,80.2707,68000.0
Ahmedabad,2968000.0,6,4,1,5,2.9,23.0225,72.5714,162000.0
Lucknow,1902000.0,2,1,1,5,4.3,26.8467,80.9462,92000.0
Pune,3668000.0,37,4,1,1,3.6,18.5204,73.8567,331000.0
Ahmedabad,1152000.0,38,2,1,4,2.3,23.0225,72.5714,65000.0
Delhi,1229000.0,30,2,1,9,3.8,28.7041,77.1025,56000.0
Mumbai,1299000.0,8,4,1,2,2.6,19.076,72.8777,72000.0
Kolkata,1115000.0,45,4,3,8,4.5,22.5726,88.3639,82000.0
Chennai,4524000.0,14,2,1,5,4.0,13.0827,80.2707,289000.0
Lucknow,597000.0,41,2,1,8,3.5,26.8467,80.9462,25000.0
Delhi,1145000.0,12,3,2,5,1.1,28.7041,77.1025,59000.0
Hyderabad,2193000.0,49,4,2,8,2.8,17.385,78.4867,158000.0
Pune,1057000.0,15,2,1,4,2.7,18.5204,73.8567,70000.0
Chennai,1542000.0,26,1,1,6,2.5,13.0827,80.2707,133000.0
Ahmedabad,2165000.0,32,4,1,8,4.3,23.0225,72.5714,84000.0
Mumbai,2280000.0,10,1,1,4,3.6,19.076,72.8777,151000.0
Kolkata,3534000.0,45,5,3,1,1.4,22.5726,88.3639,334000.0
Jaipur,4186000.0,43,5,3,2,2.0,26.9124,75.7873,242000.0
Delhi,1368000.0,2,4,3,6,4.2,28.7041,77.1025,57000.0
Chennai,225000.0,27,2,1,5,4.1,13.0827,80.2707,22000.0
Mumbai,465000.0,27,2,1,7,1.3,19.076,72.8777,36000.0
Kolkata,1440000.0,10,2,1,9,2.8,22.5726,88.3639,77000.0
Delhi,3613000.0,46,3,2,3,2.7,28.7041,77.1025,331000.0
Mumbai,853000.0,37,2,1,1,2.0,19.076,72.8777,74000.0
Chennai,4700000.0,40,2,1,2,3.7,13.0827,80.2707,410000.0
Ahmedabad,1543000.0,34,3,1,9,3.4,23.0225,72.5714,132000.0
Hyderabad,1930000.0,25,5,3,4,4.6,17.385,78.4867,68000.0
Mumbai,2242000.0,42,2,1,2,1.6,19.076,72.8777,162000.0
Hyderabad,3295000.0,25,5,2,9,3.5,17.385,78.4867,137000.0
Lucknow,2373000.0,45,2,1,3,3.3,26.8467,80.9462,196000.0
Ahmedabad,274000.0,39,1,1,9,5.0,23.0225,72.5714,13000.0
Ahmedabad,4470000.0,49,4,3,3,2.5,23.0225,72.5714,421000.0
Mumbai,2697000.0,18,1,1,7,4.4,19.076,72.8777,180000.0
Mumbai,1906000.0,6,2,1,7,3.6,19.076,72.8777,77000.0
Hyderabad,2564000.0,9,3,2,5,1.9,17.385,78.4867,92000.0
Pune,4242000.0,44,4,3,3,3.9,18.5204,73.8567,306000.0
Delhi,4699000.0,48,5,4,6,4.0,28.7041,77.1025,385000.0
Ahmedabad,3051000.0,21,4,2,3,4.4,23.0225,72.5714,150000.0
Chennai,4490000.0,7,3,1,1,3.0,13.0827,80.2707,347000.0
Hyderabad,2345000.0,20,3,1,3,3.5,17.385,78.4867,71000.0
Pune,3605000.0,31,5,3,6,2.3,18.5204,73.8567,267000.0
Bangalore,2526000.0,39,2,1,9,2.7,12.9716,77.5946,100000.0
Mumbai,4157000.0,42,2,1,3,3.9,19.076,72.8777,281000.0
Kolkata,3669000.0,16,1,1,9,2.7,22.5726,88.3639,191000.0
Ahmedabad,3325000.0,32,3,1,4,3.5,23.0225,72.5714,313000.0
Delhi,4969000.0,39,3,2,2,4.8,28.7041,77.1025,421000.0
Hyderabad,1116000.0,35,3,2,7,4.9,17.385,78.4867,80000.0
Chennai,4088000.0,10,3,1,2,2.6,13.0827,80.2707,276000.0
Ahmedabad,2472000.0,12,1,1,5,4.3,23.0225,72.5714,242000.0
Ahmedabad,1263000.0,11,4,3,8,3.0,23.0225,72.5714,116000.0
Lucknow,1405000.0,33,4,2,8,3.9,26.8467,80.9462,100000.0
Mumbai,2594000.0,22,4,3,2,3.6,19.076,72.8777,208000.0
Jaipur,4005000.0,41,3,1,9,4.3,26.9124,75.7873,143000.0
Mumbai,1980000.0,8,5,2,7,3.3,19.076,72.8777,83000.0
Bangalore,4646000.0,27,3,2,3,4.6,12.9716,77.5946,267000.0
Jaipur,2530000.0,15,4,1,8,3.9,26.9124,75.7873,210000.0
Ahmedabad,2790000.0,47,4,2,6,3.2,23.0225,72.5714,218000.0
Chennai,1877000.0,28,2,1,4,4.5,13.0827,80.2707,167000.0
Hyderabad,3539000.0,42,3,1,8,2.9,17.385,78.4867,133000.0
Delhi,4971000.0,35,3,2,1,4.2,28.7041,77.1025,268000.0
Mumbai,940000.0,32,5,3,8,1.0,19.076,72.8777,39000.0
Pune,1731000.0,7,5,3,1,2.7,18.5204,73.8567,159000.0
Hyderabad,1713000.0,44,5,2,4,3.3,17.385,78.4867,165000.0
Pune,3923000.0,43,5,2,6,1.1,18.5204,73.8567,307000.0
Bangalore,3697000.0,42,4,2,2,3.2,12.9716,77.5946,243000.0
Chennai,3121000.0,6,3,2,2,2.9,13.0827,80.2707,207000.0
Hyderabad,2390000.0,30,4,2,4,2.0,17.385,78.4867,232000.0
Lucknow,2763000.0,24,2,1,3,1.9,26.8467,80.9462,210000.0
Mumbai,706000.0,5,1,1,7,4.2,19.076,72.8777,34000.0
Kolkata,1143000.0,5,4,1,3,1.4,22.5726,88.3639,45000.0
Mumbai,4914000.0,33,4,3,5,1.3,19.076,72.8777,422000.0
Delhi,3161000.0,7,1,1,9,5.0,28.7041,77.1025,203000.0
Hyderabad,1187000.0,43,3,1,4,3.4,17.385,78.4867,44000.0
Jaipur,1675000.0,46,2,1,4,3.9,26.9124,75.7873,160000.0
Kolkata,4759000.0,20,2,1,4,2.1,22.5726,88.3639,284000.0
Jaipur,3999000.0,33,5,3,4,4.3,26.9124,75.7873,212000.0
Pune,977000.0,31,3,2,8,1.7,18.5204,73.8567,73000.0
Kolkata,2165000.0,5,3,2,5,2.6,22.5726,88.3639,163000.0
Pune,2616000.0,7,4,2,8,3.0,18.5204,73.8567,166000.0
Mumbai,3654000.0,47,4,1,9,2.2,19.076,72.8777,325000.0
Hyderabad,4747000.0,11,3,1,7,1.4,17.385,78.4867,426000.0
Pune,4586000.0,28,2,1,4,4.4,18.5204,73.8567,357000.0
Lucknow,3654000.0,14,5,1,7,4.0,26.8467,80.9462,133000.0
Bangalore,2713000.0,32,1,1,7,1.7,12.9716,77.5946,127000.0
Hyderabad,4645000.0,11,5,3,4,4.8,17.385,78.4867,410000.0
Bangalore,3292000.0,29,5,2,9,1.7,12.9716,77.5946,296000.0
Ahmedabad,3918000.0,46,3,1,1,3.5,23.0225,72.5714,212000.0
Pune,2482000.0,28,5,4,7,1.8,18.5204,73.8567,153000.0
Jaipur,1232000.0,38,1,1,7,2.2,26.9124,75.7873,64000.0
Mumbai,650000.0,49,1,1,7,4.9,19.076,72.8777,31000.0
Ahmedabad,4074000.0,16,5,3,9,1.4,23.0225,72.5714,388000.0
Delhi,805000.0,21,3,2,9,4.3,28.7041,77.1025,70000.0
Mumbai,2988000.0,19,5,2,7,2.0,19.076,72.8777,97000.0
Jaipur,1561000.0,21,1,1,7,1.7,26.9124,75.7873,143000.0
Lucknow,3157000.0,45,1,1,4,4.3,26.8467,80.9462,265000.0
Ahmedabad,4833000.0,17,5,3,7,1.9,23.0225,72.5714,330000.0
Kolkata,2038000.0,33,1,1,5,4.4,22.5726,88.3639,80000.0
Mumbai,307000.0,41,1,1,8,2.2,19.076,72.8777,24000.0
Bangalore,4657000.0,17,2,1,7,2.1,12.9716,77.5946,157000.0
Jaipur,310000.0,1,3,2,2,2.5,26.9124,75.7873,18000.0
Bangalore,3423000.0,42,5,3,9,4.5,12.9716,77.5946,330000.0
Kolkata,3487000.0,21,4,3,7,3.2,22.5726,88.3639,143000.0
Mumbai,2152000.0,18,5,3,9,4.3,19.076,72.8777,145000.0
Delhi,2805000.0,37,5,1,5,3.5,28.7041,77.1025,159000.0
Kolkata,2792000.0,7,2,1,5,3.9,22.5726,88.3639,247000.0
Hyderabad,4422000.0,38,5,2,9,3.2,17.385,78.4867,333000.0
Delhi,2588000.0,47,4,2,8,3.6,28.7041,77.1025,188000.0
Bangalore,4950000.0,26,4,3,8,4.9,12.9716,77.5946,273000.0
Jaipur,1073000.0,13,2,1,5,3.3,26.9124,75.7873,67000.0
Pune,4875000.0,29,1,1,5,1.7,18.5204,73.8567,398000.0
Ahmedabad,3760000.0,41,1,1,1,3.9,23.0225,72.5714,375000.0
Bangalore,611000.0,29,2,1,7,4.8,12.9716,77.5946,50000.0
Chennai,1498000.0,15,3,2,3,1.6,13.0827,80.2707,108000.0
Pune,2493000.0,46,4,1,4,1.4,18.5204,73.8567,230000.0
Hyderabad,4681000.0,46,3,2,3,1.9,17.385,78.4867,177000.0
Lucknow,1314000.0,28,2,1,9,1.9,26.8467,80.9462,121000.0
Chennai,4737000.0,23,3,2,4,3.3,13.0827,80.2707,178000.0
Kolkata,1834000.0,39,1,1,4,3.5,22.5726,88.3639,180000.0
Chennai,2112000.0,4,5,2,6,3.9,13.0827,80.2707,123000.0
Ahmedabad,3242000.0,14,3,1,4,1.9,23.0225,72.5714,232000.0
Kolkata,983000.0,9,3,2,8,1.1,22.5726,88.3639,91000.0
Ahmedabad,1273000.0,17,2,1,2,4.6,23.0225,72.5714,122000.0
Mumbai,664000.0,34,3,1,9,1.9,19.076,72.8777,33000.0
Delhi,4812000.0,39,2,1,7,1.9,28.7041,77.1025,442000.0
